corner,vdd,temp,vcont,freq,current
ss,1.8,27.0,1.5,417500000,0.0001293520574316892077698057549
tt,1.8,27.0,1.1,397500000,0.0001420917318292792680182995425
ss,1.8,27.0,1.1,315000000,0.0001104276016135096622584435389
ss,1.8,27.0,1.5,417500000,0.0001331046956017099572510687233
fs,1.8,27.0,1.1,355000000,0.0001431623888916027099322516937
fs,1.8,27.0,1.1,355000000,0.0001401349930833979150521236969
sf,1.8,27.0,1.5,487500000,0.0001390961121046473838154046149
tt,1.8,27.0,1.1,402500000,0.0001421772244419389515262118447
ff,1.8,27.0,1.1,495000000,0.0001741922754862878428039299018
sf,1.8,27.0,1.5,490000000,0.0001376850864345141371465713357
ff,1.8,27.0,1.5,622500000,0.0001969279861864953376165595860
sf,1.8,27.0,1.1,410000000,0.0001220435080616484587885302867
fs,1.8,27.0,1.5,517500000,0.0001821244573561410964725881853
ss,1.8,27.0,1.1,312500000,0.0001103834851973200669983250419
tt,1.8,27.0,1.5,517500000,0.0001593022460249993750156246094
ff,1.8,27.0,1.5,622500000,0.0001966746390326241843953901152
tt,1.8,27.0,1.5,515000000,0.0001666248466527836804079898003
fs,1.8,27.0,1.5,512500000,0.0001856031081436464088397790055
ff,1.8,27.0,1.1,500000000,0.0001763547352566185845353866153
sf,1.8,27.0,1.1,415000000,0.0001281301937983550411239719007
ss,1.8,27.0,1.6,427500000,0.0001311863584823879403014924627
ss,1.8,27.0,1.6,425000000,0.0001359718061481712957176070598
ss,1.8,27.0,1.2,357500000,0.0001197946675536861578460538487
tt,1.8,27.0,1.2,452500000,0.0001528105742713432164195895103
fs,1.8,27.0,1.2,422500000,0.0001614624949601759956001099973
fs,1.8,27.0,1.2,420000000,0.0001580346871715707107322316942
sf,1.8,27.0,1.6,497500000,0.0001375143211870203244918877028
tt,1.8,27.0,1.2,452500000,0.0001536973636789330266743331417
sf,1.8,27.0,1.6,502500000,0.0001414414469090772730681732957
ff,1.8,27.0,1.2,550000000,0.0001847744150831979200519987000
sf,1.8,27.0,1.2,447500000,0.0001299816729348766280842978926
fs,1.8,27.0,1.6,532500000,0.0001882471422946676333091672708
ff,1.8,27.0,1.6,630000000,0.0001971715248672533186670333242
ff,1.8,27.0,1.6,632500000,0.0002083640218543786405339866503
tt,1.8,27.0,1.6,527500000,0.0001688456119704257393565160871
ss,1.8,27.0,1.2,357500000,0.0001168921748524286892827679308
fs,1.8,27.0,1.6,530000000,0.0001884145876343091422714432139
tt,1.8,27.0,1.6,525000000,0.0001708368092130446738831529212
sf,1.8,27.0,1.2,445000000,0.0001302324584387140321491962701
ff,1.8,27.0,1.2,547500000,0.0001876926118051048723781905452
ss,1.8,27.0,1.7,442500000,0.0001326088256276343091422714432
ss,1.8,27.0,1.3,387500000,0.0001233720899071773205669858254
ss,1.8,27.0,1.7,437500000,0.0001343001248103797405064873378
tt,1.8,27.0,1.3,480000000,0.0001581433689916002099947501312
sf,1.8,27.0,1.7,502500000,0.0001391771088317542061448463788
