corner,vdd,temp,vcont,s0,s1,freq,current
fs,1.8,27.0,1.5,1,1,192500000,0.0002097930018057798555036124097
sf,1.8,27.0,1.5,1,1,257500000,0.0001759102408125296867578310542
sf,1.8,27.0,1.5,1,1,250000000,0.0001739996661987950301242468938
tt,1.8,27.0,1.1,1,1,222500000,0.0001786674850489487762805929852
tt,1.8,27.0,1.5,1,1,257500000,0.0002039477180552736181595460113
sf,1.8,27.0,1.1,0,1,162500000,0.0001460126881910702232444188895
fs,1.8,27.0,1.5,1,1,182500000,0.0002128374577095322616934576636
tt,1.8,27.0,1.5,1,1,267500000,0.0002049028073537911552211194720
ff,1.8,27.0,1.1,1,1,307500000,0.0002364260992272943176420589485
ff,1.8,27.0,1.5,1,1,360000000,0.0002756373603403414914627134322
ff,1.8,27.0,1.1,1,1,315000000,0.0002374153036013099672508187295
ff,1.8,27.0,1.5,1,1,355000000,0.0002714022891924201894952626184
ss,1.8,27.0,1.2,0,0,95000000.0,0.0001188866479313467163320916977
ss,1.8,27.0,1.2,0,0,95000000.0,0.0001181752243460638484037899053
ss,1.8,27.0,1.6,0,0,107500000,0.0001342181285111622209444763881
ss,1.8,27.0,1.6,0,0,110000000,0.0001335699996388840278993025174
fs,1.8,27.0,1.2,0,0,120000000,0.0001615357096392090197745056374
fs,1.8,27.0,1.2,0,0,120000000,0.0001644055741606459838504037399
tt,1.8,27.0,1.2,0,0,122500000,0.0001544466015869853253668658284
sf,1.8,27.0,1.6,0,0,127500000,0.0001413930783830154246143846404
sf,1.8,27.0,1.6,0,0,127500000,0.0001423543743095672608184795380
sf,1.8,27.0,1.2,0,0,117500000,0.0001324167589818754531136721582
fs,1.8,27.0,1.6,0,0,145000000,0.0001968511532115197120071998200
sf,1.8,27.0,1.1,1,0,127500000,0.0001362678640497487562810929727
tt,1.8,27.0,1.2,0,0,122500000,0.0001550229924395390115247118822
fs,1.8,27.0,1.6,0,0,145000000,0.0001916660110751231219219519512
tt,1.8,27.0,1.6,0,0,140000000,0.0001648816818587785305367365816
tt,1.8,27.0,1.6,0,0,140000000,0.0001713470544229644258893527662
ff,1.8,27.0,1.2,0,0,152500000,0.0001909633696943576410589735257
ff,1.8,27.0,1.6,0,0,170000000,0.0002052433011256718582035449114
ff,1.8,27.0,1.2,0,0,152500000,0.0001911241825465363365915852104
ff,1.8,27.0,1.6,0,0,170000000,0.0002087933303841653958651033724
ss,1.8,27.0,1.2,0,1,130000000,0.0001269438604285642858928526787
ss,1.8,27.0,1.2,0,1,130000000,0.0001267793108048298792530186745
ss,1.8,27.0,1.6,0,1,142500000,0.0001432807194271393215169620759
ss,1.8,27.0,1.6,0,1,152500000,0.0001434663808804779880502987425
fs,1.8,27.0,1.2,0,1,172500000,0.0001814103531460713482162945926
fs,1.8,27.0,1.2,0,1,167500000,0.0001794122768517787055323616910
tt,1.8,27.0,1.2,0,1,185000000,0.0001736064249279518012049698758
sf,1.8,27.0,1.6,0,1,190000000,0.0001617726075943101422464438389
sf,1.8,27.0,1.6,0,1,187500000,0.0001576419136704332391690207745
sf,1.8,27.0,1.2,0,1,172500000,0.0001468091380884477888052798680
fs,1.8,27.0,1.6,0,1,180000000,0.0002105757860342991425214369641
tt,1.8,27.0,1.2,0,1,182500000,0.0001718423336008099797505062373
fs,1.8,27.0,1.6,0,1,170000000,0.0001998256975394115147121321967
sf,1.8,27.0,1.1,1,1,237500000,0.0001613071163177920551986200345
tt,1.8,27.0,1.6,0,1,202500000,0.0001846154359067273318167045824
tt,1.8,27.0,1.6,0,1,210000000,0.0001917833366494837629059273518
ff,1.8,27.0,1.2,0,1,235000000,0.0002200643821203969900752481188
ff,1.8,27.0,1.6,0,1,260000000,0.0002384106788001799955001124972
ff,1.8,27.0,1.2,0,1,235000000,0.0002173110180858228544286392840
ff,1.8,27.0,1.6,0,1,260000000,0.0002386340227627559311017224569
ss,1.8,27.0,1.2,1,0,97500000.0,0.0001170581291443263918402039949
ss,1.8,27.0,1.2,1,0,97500000.0,0.0001232690630873728156796080098
ss,1.8,27.0,1.6,1,0,107500000,0.0001316529198108547286317842054
ss,1.8,27.0,1.6,1,0,110000000,0.0001344405149050523736906577336
fs,1.8,27.0,1.2,1,0,107500000,0.0001655014158264293392665183370
fs,1.8,27.0,1.2,1,0,112500000,0.0001686838988343041423964400890
tt,1.8,27.0,1.2,1,0,135000000,0.0001635420980535236619084522887
sf,1.8,27.0,1.6,1,0,145000000,0.0001446917584772630684232894178
sf,1.8,27.0,1.6,1,0,145000000,0.0001429962617191070223244418890
fs,1.8,27.0,1.6,1,0,130000000,0.0001910125103154671133221669458
sf,1.8,27.0,1.2,1,0,135000000,0.0001383419747606559836004099898
tt,1.8,27.0,1.2,1,0,132500000,0.0001632871213845903852403689908
fs,1.8,27.0,1.6,1,0,125000000,0.0001889994334859878503037424064
tt,1.8,27.0,1.6,1,0,155000000,0.0001725461231585460363490912727
sf,1.8,27.0,1.2,0,0,117500000,0.0001326391592170195745106372341
tt,1.8,27.0,1.6,1,0,150000000,0.0001738929333616409589760255994
ff,1.8,27.0,1.2,1,0,175000000,0.0002016428129497012574685632859
ff,1.8,27.0,1.6,1,0,195000000,0.0002179979081101472463188420289
ff,1.8,27.0,1.2,1,0,175000000,0.0001999760002305442363940901477
ss,1.8,27.0,1.2,1,1,145000000,0.0001324479025234869128271793205
ss,1.8,27.0,1.2,1,1,157500000,0.0001392366678486787830304242394
ff,1.8,27.0,1.6,1,0,192500000,0.0002171911537805304867378315542
ss,1.8,27.0,1.6,1,1,172500000,0.0001513474701667208319792005200
ss,1.8,27.0,1.6,1,1,167500000,0.0001494061754368140796480087998
fs,1.8,27.0,1.2,1,1,172500000,0.0001770798519669758256043598910
tt,1.8,27.0,1.2,1,1,242500000,0.0001876462695027624309392265193
fs,1.8,27.0,1.2,1,1,160000000,0.0001872451678311792205194870128
