corner,vdd,temp,vcont,freq,current
sf,1.8,27.0,1.5,147500000,0.0001336968574325366865828354291
ss,1.8,27.0,1.1,100000000,0.0001105845412657183570410739732
ss,1.8,27.0,1.1,100000000,0.0001085475827421614459638509037
sf,1.8,27.0,1.1,127500000,0.0001252635492911927201819954501
tt,1.8,27.0,1.5,160000000,0.0001627581339848503787405314867
fs,1.8,27.0,1.1,112500000,0.0001382495344162145946351341216
tt,1.8,27.0,1.1,125000000,0.0001420483576568085797855053624
tt,1.8,27.0,1.5,160000000,0.0001686793065116122096947576311
tt,1.8,27.0,1.1,127500000,0.0001423914552823429414264643384
sf,1.8,27.0,1.5,147500000,0.0001362670500033999150021249469
ss,1.8,27.0,1.5,130000000,0.0001297512450017749556261093473
sf,1.8,27.0,1.1,127500000,0.0001262339143767155821104472388
fs,1.8,27.0,1.5,162500000,0.0001814492436293092672683182920
ss,1.8,27.0,1.5,130000000,0.0001286109509692757681057973551
fs,1.8,27.0,1.1,112500000,0.0001431919210153496162595935102
fs,1.8,27.0,1.5,162500000,0.0001810656127060323491912702182
ff,1.8,27.0,1.1,155000000,0.0001741344623147671308217294568
ff,1.8,27.0,1.1,155000000,0.0001761861646086097847553811155
ff,1.8,27.0,1.5,190000000,0.0002034200751417714557136071598
ff,1.8,27.0,1.5,190000000,0.0002002003980944976375590610235
sf,1.8,27.0,1.6,150000000,0.0001373005722110447238819029524
ss,1.8,27.0,1.2,112500000,0.0001170049006438839029024274393
ss,1.8,27.0,1.2,112500000,0.0001173584128941526461838454039
tt,1.8,27.0,1.6,162500000,0.0001664438444775630609234769131
fs,1.8,27.0,1.2,135000000,0.0001600672080341241468963275918
sf,1.8,27.0,1.2,135000000,0.0001304826902665433364165895853
tt,1.8,27.0,1.2,140000000,0.0001552778048837779055523611910
sf,1.8,27.0,1.6,147500000,0.0001377569348505537361565960851
tt,1.8,27.0,1.6,162500000,0.0001677773435900102497437564061
ss,1.8,27.0,1.6,132500000,0.0001297443438728731781705457364
tt,1.8,27.0,1.2,140000000,0.0001507511028338041548961275968
sf,1.8,27.0,1.2,135000000,0.0001271837915771855703607409815
ss,1.8,27.0,1.6,132500000,0.0001374076035775605609859753506
fs,1.8,27.0,1.6,167500000,0.0001903114492828429289267768306
fs,1.8,27.0,1.6,165000000,0.0001927515539012274693132671683
