corner,vdd,temp,vcont,freq,current
ss,1.8,27.0,1.7,245000000,0.0001313602255954601134971625709
sf,1.8,27.0,1.3,255000000,0.0001373555906036349091272718182
ss,1.8,27.0,1.7,242500000,0.0001294601953938651533711657209
ss,1.8,27.0,1.3,217500000,0.0001225253127797055073623159421
sf,1.8,27.0,1.7,275000000,0.0001385025926039349016274593135
fs,1.8,27.0,1.3,265000000,0.0001716683436775580610484737882
sf,1.8,27.0,1.7,272500000,0.0001426248104233894152646183845
fs,1.8,27.0,1.3,267500000,0.0001713391150894477638059048524
fs,1.8,27.0,1.7,312500000,0.0001915835894644133896652583685
tt,1.8,27.0,1.7,295000000,0.0001733619886045348866278343041
fs,1.8,27.0,1.7,310000000,0.0001933971252873928151796205095
ss,1.8,27.0,1.3,217500000,0.0001254380893115422114447138822
tt,1.8,27.0,1.7,297500000,0.0001751998461754706132346691333
ff,1.8,27.0,1.3,325000000,0.0001950864040440488987775305617
ff,1.8,27.0,1.3,325000000,0.0001943734396496337591560210995
ff,1.8,27.0,1.7,357500000,0.0002138268668492037699057523562
tt,1.8,27.0,1.3,270000000,0.0001567296241193970150746231344
ff,1.8,27.0,1.7,355000000,0.0002087683276729081772955676108
tt,1.8,27.0,1.3,272500000,0.0001571047012586435339116522087
sf,1.8,27.0,1.4,260000000,0.0001386508977545811354716132097
sf,1.8,27.0,1.4,262500000,0.0001354341482472438189045273868
ss,1.8,27.0,1.8,247500000,0.0001376729459646758831029224269
ss,1.8,27.0,1.8,245000000,0.0001372079471765705857353566161
ss,1.8,27.0,1.4,227500000,0.0001303964393443413914652133697
fs,1.8,27.0,1.4,282500000,0.0001816538788839779005524861878
sf,1.8,27.0,1.8,275000000,0.0001426254848913527161820954476
sf,1.8,27.0,1.8,275000000,0.0001420239569287017824554386140
fs,1.8,27.0,1.8,312500000,0.0001996960193303167420814479638
fs,1.8,27.0,1.4,280000000,0.0001875411839631759206019849504
ss,1.8,27.0,1.4,227500000,0.0001276436638841028974275643109
tt,1.8,27.0,1.8,297500000,0.0001775431813786405339866503337
fs,1.8,27.0,1.8,312500000,0.0001964756593389915252118697033
tt,1.8,27.0,1.8,302500000,0.0001754714657331566710832229194
ff,1.8,27.0,1.4,337500000,0.0001947284928288792780180495488
ff,1.8,27.0,1.8,360000000,0.0002101637896581335466613334667
ff,1.8,27.0,1.4,332500000,0.0001975551385801354966125846854
tt,1.8,27.0,1.4,280000000,0.0001584816922796680082997925052
tt,1.8,27.0,1.4,280000000,0.0001635216719406764830879228019
ff,1.8,27.0,1.8,357500000,0.0002090980690811729706757331067
