corner,vdd,temp,vcont,freq,current
ss,1.8,27.0,1.5,232500000,0.0001292644564268893277668058299
ss,1.8,27.0,1.1,180000000,0.0001097685600772605684857878553
fs,1.8,27.0,1.5,292500000,0.0001844264989782755431114222144
fs,1.8,27.0,1.1,205000000,0.0001411592344556636084097897553
tt,1.8,27.0,1.1,227500000,0.0001460536055552111197220069498
ss,1.8,27.0,1.1,180000000,0.0001064795616439489012774680633
fs,1.8,27.0,1.1,210000000,0.0001387496465820604484887877803
sf,1.8,27.0,1.5,265000000,0.0001407529177205069873253168671
sf,1.8,27.0,1.1,230000000,0.0001251073838928526786830329242
sf,1.8,27.0,1.5,265000000,0.0001360085228086297842553936152
sf,1.8,27.0,1.1,230000000,0.0001265141730531486712832179196
tt,1.8,27.0,1.1,227500000,0.0001432598566949326266843328917
tt,1.8,27.0,1.5,285000000,0.0001652381182421439464013399665
tt,1.8,27.0,1.5,287500000,0.0001642028657401564960875978101
ss,1.8,27.0,1.5,235000000,0.0001285742723489662758431039224
ff,1.8,27.0,1.5,340000000,0.0001997962679558261043473913152
fs,1.8,27.0,1.5,292500000,0.0001877543771535711607209819755
ff,1.8,27.0,1.1,280000000,0.0001781845170493987650308742281
ff,1.8,27.0,1.5,340000000,0.0002056269130251993700157496063
ff,1.8,27.0,1.1,280000000,0.0001781225915291867703307417315
ss,1.8,27.0,1.6,240000000,0.0001320400162932926676833079173
ss,1.8,27.0,1.2,205000000,0.0001168542125640608984775380615
tt,1.8,27.0,1.2,252500000,0.0001496366098653783655408614785
ss,1.8,27.0,1.2,205000000,0.0001197112918034799130021749456
fs,1.8,27.0,1.6,302500000,0.0001929783986871078223044423889
sf,1.8,27.0,1.6,270000000,0.0001409097360069748256293592660
sf,1.8,27.0,1.2,245000000,0.0001318930179135021624459388515
sf,1.8,27.0,1.2,245000000,0.0001303830371773455663608409790
ss,1.8,27.0,1.6,240000000,0.0001340042448721781955451113722
tt,1.8,27.0,1.2,252500000,0.0001510553566961325966850828729
sf,1.8,27.0,1.6,267500000,0.0001406106156158846028849278768
fs,1.8,27.0,1.2,242500000,0.0001583098825025374365640858979
fs,1.8,27.0,1.2,242500000,0.0001611037099943751406214844629
tt,1.8,27.0,1.6,290000000,0.0001657210012583685407864803380
fs,1.8,27.0,1.6,300000000,0.0001927026414718632034199145021
tt,1.8,27.0,1.6,292500000,0.0001673499473223419414514637134
ff,1.8,27.0,1.6,347500000,0.0002040491643379415514612134697
ff,1.8,27.0,1.2,307500000,0.0001839248407080572985675358116
ff,1.8,27.0,1.6,350000000,0.0002051897068356041098972525687
ff,1.8,27.0,1.2,307500000,0.0001915546376285592860178495538
ss,1.8,27.0,1.3,217500000,0.0001237759379408764780880477988
ss,1.8,27.0,1.7,242500000,0.0001339202149370015749606259844
fs,1.8,27.0,1.7,307500000,0.0001979776340674233144171395715
ss,1.8,27.0,1.3,217500000,0.0001256575572043948901277468063
sf,1.8,27.0,1.7,272500000,0.0001434237436996325091872703182
sf,1.8,27.0,1.3,252500000,0.0001351125666556586085347866303
tt,1.8,27.0,1.3,270000000,0.0001547677196370590735231619210
sf,1.8,27.0,1.3,252500000,0.0001344418736978075548111297218
ss,1.8,27.0,1.7,242500000,0.0001316923272586935326616834579
tt,1.8,27.0,1.3,267500000,0.0001583979285885852853678658034
sf,1.8,27.0,1.7,272500000,0.0001409223679108772280692982675
fs,1.8,27.0,1.3,265000000,0.0001680672519537511562210944726
tt,1.8,27.0,1.7,295000000,0.0001724654706820329491762705932
fs,1.8,27.0,1.3,265000000,0.0001754667583138421539461513462
tt,1.8,27.0,1.7,300000000,0.0001735261997903052423689407765
fs,1.8,27.0,1.7,307500000,0.0001894852843125671858203544911
ff,1.8,27.0,1.3,322500000,0.0001943616451913952151196220094
ff,1.8,27.0,1.7,355000000,0.0002044514510853728656783580410
ff,1.8,27.0,1.7,355000000,0.0002053593220351991200219994500
ff,1.8,27.0,1.3,325000000,0.0001861721784740381490462738432
ss,1.8,27.0,1.8,247500000,0.0001351270034962125946851328717
ss,1.8,27.0,1.4,227500000,0.0001265087433427164320891977701
ss,1.8,27.0,1.4,227500000,0.0001255381128834029149271268218
sf,1.8,27.0,1.4,260000000,0.0001379469280836979075523111922
sf,1.8,27.0,1.8,272500000,0.0001442467653903152421189470263
ss,1.8,27.0,1.8,245000000,0.0001394397274318142046448838779
fs,1.8,27.0,1.8,315000000,0.0001950154118907277318067048324
tt,1.8,27.0,1.4,277500000,0.0001612755389237769055773605660
tt,1.8,27.0,1.4,280000000,0.0001668488359288267793305167371
sf,1.8,27.0,1.4,260000000,0.0001326361842595685107872303192
sf,1.8,27.0,1.8,275000000,0.0001415517142339191520211994700
tt,1.8,27.0,1.8,300000000,0.0001740668350898977525561860953
tt,1.8,27.0,1.8,302500000,0.0001728917249707507312317192070
fs,1.8,27.0,1.4,282500000,0.0001823669167560810979725506862
fs,1.8,27.0,1.4,280000000,0.0001817973082344941376465588360
fs,1.8,27.0,1.8,312500000,0.0001977630916920326991825204370
ff,1.8,27.0,1.8,360000000,0.0002069907177471313217169570761
ff,1.8,27.0,1.4,337500000,0.0001986183747653058673533161671
ff,1.8,27.0,1.8,360000000,0.0002135387791064223394415139622
ff,1.8,27.0,1.4,332500000,0.0001927209609289017774555636109
ss,1.8,27.0,1.5,232500000,0.0001306236171764705882352941176
sf,1.8,27.0,1.1,227500000,0.0001268579181246718832029199270
sf,1.8,27.0,1.5,267500000,0.0001377586696714832129196770081
ss,1.8,27.0,1.5,235000000,0.0001295375225264868378290542736
fs,1.8,27.0,1.1,205000000,0.0001398227740214494637634059149
sf,1.8,27.0,1.1,230000000,0.0001249035034915627109322266943
tt,1.8,27.0,1.5,287500000,0.0001641667702174195645108872278
tt,1.8,27.0,1.5,285000000,0.0001667593196469338266543336417
ss,1.8,27.0,1.1,177500000,0.0001077490523742231444213894653
sf,1.8,27.0,1.5,265000000,0.0001378496743328166795830104247
ff,1.8,27.0,1.1,280000000,0.0001757134893486162845928851779
fs,1.8,27.0,1.1,207500000,0.0001392726169752006199845003875
ss,1.8,27.0,1.1,177500000,0.0001115852420482487937801554961
fs,1.8,27.0,1.5,292500000,0.0001889354841704707382315442114
fs,1.8,27.0,1.5,292500000,0.0001857859973203419914502137447
tt,1.8,27.0,1.1,230000000,0.0001451096376030349241268968276
ff,1.8,27.0,1.1,277500000,0.0001780247014336891577710557236
tt,1.8,27.0,1.1,227500000,0.0001428850711125221869453263668
ff,1.8,27.0,1.5,342500000,0.0002009241203146171345716357091
ff,1.8,27.0,1.5,340000000,0.0002050804567687807804804879878
ss,1.8,27.0,1.6,240000000,0.0001310300140713732156696082598
ss,1.8,27.0,1.6,240000000,0.0001280029558995025124371890703
sf,1.8,27.0,1.6,270000000,0.0001361465912178945526361840954
sf,1.8,27.0,1.2,245000000,0.0001307083959833254168645783855
sf,1.8,27.0,1.2,245000000,0.0001290545290677233069173270668
tt,1.8,27.0,1.6,292500000,0.0001694657775856103597410064748
ss,1.8,27.0,1.2,202500000,0.0001187551980275743106422339442
fs,1.8,27.0,1.2,242500000,0.0001599772178215544611384715382
sf,1.8,27.0,1.6,267500000,0.0001379037603163170920726981825
ss,1.8,27.0,1.2,202500000,0.0001204649876525836854078648034
fs,1.8,27.0,1.2,242500000,0.0001571026610496737581560460988
tt,1.8,27.0,1.6,292500000,0.0001700704029817754556136096598
ff,1.8,27.0,1.2,307500000,0.0001860118841769455763605909852
fs,1.8,27.0,1.6,302500000,0.0001863415223866903327416814580
fs,1.8,27.0,1.6,300000000,0.0001916206722767180820479488013
tt,1.8,27.0,1.2,252500000,0.0001515067210210994725131871703
tt,1.8,27.0,1.2,252500000,0.0001514579095977850553736156596
ff,1.8,27.0,1.2,307500000,0.0001889817372887927801804954876
ff,1.8,27.0,1.6,350000000,0.0002074225125727106822329441764
ff,1.8,27.0,1.6,350000000,0.0002118367511986200344991375216
ss,1.8,27.0,1.7,242500000,0.0001324217197818554536136596585
ss,1.8,27.0,1.7,242500000,0.0001395540647711307217319567011
sf,1.8,27.0,1.7,275000000,0.0001371515277054323641908952276
sf,1.8,27.0,1.3,252500000,0.0001314577044524136896577585560
ss,1.8,27.0,1.3,217500000,0.0001273961636847078823029424264
sf,1.8,27.0,1.3,255000000,0.0001296867582024449388765280868
tt,1.8,27.0,1.7,295000000,0.0001708418507840553986150346241
ss,1.8,27.0,1.3,217500000,0.0001241279217641058973525661858
fs,1.8,27.0,1.3,267500000,0.0001725893388447788805279868003
sf,1.8,27.0,1.7,270000000,0.0001357458851457213569660758481
fs,1.8,27.0,1.3,265000000,0.0001683356697585560360990975226
tt,1.8,27.0,1.7,300000000,0.0001678671499600009999750006250
fs,1.8,27.0,1.7,310000000,0.0001922846381028474288142796430
fs,1.8,27.0,1.7,307500000,0.0001916405750356491087722806930
tt,1.8,27.0,1.3,270000000,0.0001588653694402389940251493713
ff,1.8,27.0,1.3,325000000,0.0001927353389314517137071573211
tt,1.8,27.0,1.3,272500000,0.0001559932665578610534736631584
ff,1.8,27.0,1.3,322500000,0.0001960779523330916727081822954
ff,1.8,27.0,1.7,352500000,0.0002123131886235094122646933827
ff,1.8,27.0,1.7,355000000,0.0002033406711135471613209669758
ss,1.8,27.0,1.8,245000000,0.0001341449667006074848128796780
ss,1.8,27.0,1.8,247500000,0.0001354234470589235269118272043
sf,1.8,27.0,1.8,272500000,0.0001440516452336941576460588485
ss,1.8,27.0,1.4,227500000,0.0001284225674321141971450713732
sf,1.8,27.0,1.4,260000000,0.0001339808780386990325241868953
sf,1.8,27.0,1.4,260000000,0.0001376977887573810654733631659
tt,1.8,27.0,1.8,300000000,0.0001735163905988850278743031424
ss,1.8,27.0,1.4,227500000,0.0001257440563344166395840103997
sf,1.8,27.0,1.8,272500000,0.0001395568098950526236844078898
fs,1.8,27.0,1.4,280000000,0.0001797325556510587235319117022
fs,1.8,27.0,1.4,280000000,0.0001774997086554336141596460088
tt,1.8,27.0,1.4,280000000,0.0001612172880609459763505912352
fs,1.8,27.0,1.8,315000000,0.0001955163916452838679033024174
tt,1.8,27.0,1.8,300000000,0.0001678800269145271368215794605
fs,1.8,27.0,1.8,315000000,0.0001979905161915452113697157571
ff,1.8,27.0,1.4,332500000,0.0001983852116969825754356141096
tt,1.8,27.0,1.4,277500000,0.0001588365202826429339266518337
ff,1.8,27.0,1.4,332500000,0.0001984654422193445163870903227
ff,1.8,27.0,1.8,360000000,0.0002116223496885327866803329917
ff,1.8,27.0,1.8,357500000,0.0002064114498191545211369715757
sf,1.8,27.0,1.1,230000000,0.0001282054430130996725081872953
sf,1.8,27.0,1.1,227500000,0.0001260513710062498437539061523
ss,1.8,27.0,1.5,232500000,0.0001301315005859853503662408440
fs,1.8,27.0,1.1,207500000,0.0001415574129495762605934851629
ss,1.8,27.0,1.1,180000000,0.0001116073084772630684232894178
sf,1.8,27.0,1.5,265000000,0.0001371851475286367840803979901
ss,1.8,27.0,1.5,232500000,0.0001315148626502837429064273393
sf,1.8,27.0,1.5,265000000,0.0001408569291982950426239344016
fs,1.8,27.0,1.1,202500000,0.0001425237255758356041098972526
fs,1.8,27.0,1.5,292500000,0.0001860990651364965875853103672
fs,1.8,27.0,1.5,292500000,0.0001849597582656433589160270993
tt,1.8,27.0,1.5,282500000,0.0001724083083994900127496812580
ss,1.8,27.0,1.1,180000000,0.0001147759230862228444288892778
ff,1.8,27.0,1.1,280000000,0.0001774245778788780280492987675
ff,1.8,27.0,1.1,280000000,0.0001743077532043698907527311817
tt,1.8,27.0,1.5,287500000,0.0001650728138064048398790030249
ff,1.8,27.0,1.5,342500000,0.0002058141142045198870028249294
ff,1.8,27.0,1.5,342500000,0.0002051030025968100797480062998
tt,1.8,27.0,1.1,225000000,0.0001449846999369265768355791105
tt,1.8,27.0,1.1,227500000,0.0001430830543238419039524011900
sf,1.8,27.0,1.2,242500000,0.0001365232180677483062923426914
sf,1.8,27.0,1.2,245000000,0.0001336307785635359116022099448
ss,1.8,27.0,1.6,240000000,0.0001320429077699057523561910952
ss,1.8,27.0,1.2,202500000,0.0001171667148816529586760330992
ss,1.8,27.0,1.6,237500000,0.0001326711224437639059023524412
fs,1.8,27.0,1.2,242500000,0.0001589444998459288517787055324
sf,1.8,27.0,1.6,267500000,0.0001387941643288417789555261118
sf,1.8,27.0,1.6,270000000,0.0001414724854589635259118522037
fs,1.8,27.0,1.2,242500000,0.0001590786529112772180695482613
fs,1.8,27.0,1.6,300000000,0.0001905661347876803079923001925
fs,1.8,27.0,1.6,302500000,0.0001880316260479988000299992500
tt,1.8,27.0,1.6,292500000,0.0001710535233101422464438389040
ss,1.8,27.0,1.2,202500000,0.0001202681951858453538661533462
tt,1.8,27.0,1.6,292500000,0.0001633626404102647433814154646
ff,1.8,27.0,1.2,307500000,0.0001889897697503812404689882753
ff,1.8,27.0,1.2,305000000,0.0001874125967803804904877378066
ff,1.8,27.0,1.6,347500000,0.0001999278307489812754681132972
ff,1.8,27.0,1.6,350000000,0.0002058877054032649183770405740
tt,1.8,27.0,1.2,252500000,0.0001544840128919527011824704382
tt,1.8,27.0,1.2,252500000,0.0001524774953789405264868378291
sf,1.8,27.0,1.3,255000000,0.0001385853869332266693332666683
