corner,vdd,temp,vcont,freq,current
fs,1.8,27.0,1.2,172500000,0.0001595911983842403939901502462
ff,1.8,27.0,1.6,250000000,0.0002122448181226719332016699583
ff,1.8,27.0,1.2,220000000,0.0001891098385043873903152421189
ss,1.8,27.0,1.7,172500000,0.0001355361306197845053873653159
sf,1.8,27.0,1.7,192500000,0.0001404620818257793555161120972
ss,1.8,27.0,1.3,155000000,0.0001247518599374015649608759781
sf,1.8,27.0,1.7,192500000,0.0001419786266870328241793955151
sf,1.8,27.0,1.3,180000000,0.0001322409378264793380165495863
tt,1.8,27.0,1.3,192500000,0.0001593828985251368715782105447
ss,1.8,27.0,1.3,155000000,0.0001246020706722081947951301217
ss,1.8,27.0,1.7,172500000,0.0001336072263118422039449013775
fs,1.8,27.0,1.7,217500000,0.0001972688150626484337891552711
fs,1.8,27.0,1.7,220000000,0.0001941426065886602834929126772
tt,1.8,27.0,1.3,192500000,0.0001593522924655133621659458514
sf,1.8,27.0,1.3,180000000,0.0001348066307183320416989575261
fs,1.8,27.0,1.3,190000000,0.0001693588696551836204094897628
tt,1.8,27.0,1.7,212500000,0.0001717677206685332866678333042
tt,1.8,27.0,1.7,210000000,0.0001735647250226494337641558961
ff,1.8,27.0,1.7,252500000,0.0002107478634709882252943676408
fs,1.8,27.0,1.3,190000000,0.0001694696898530036749081272968
ff,1.8,27.0,1.7,250000000,0.0002082395410850728731781705457
ff,1.8,27.0,1.3,230000000,0.0001962593788782780430489237769
ff,1.8,27.0,1.3,230000000,0.0001908877951458713532161695958
sf,1.8,27.0,1.8,195000000,0.0001390391921398215044623884403
ss,1.8,27.0,1.8,175000000,0.0001367937889920751981200469988
sf,1.8,27.0,1.8,192500000,0.0001419348825650858728531786705
ss,1.8,27.0,1.4,162500000,0.0001221228898398040048998775031
sf,1.8,27.0,1.4,185000000,0.0001360743859726756831079223019
ss,1.8,27.0,1.8,175000000,0.0001358506835408614784630384240
sf,1.8,27.0,1.4,185000000,0.0001367674662750931226719332017
tt,1.8,27.0,1.4,200000000,0.0001598343272589685257868553286
tt,1.8,27.0,1.4,197500000,0.0001656364015262368440788980275
ss,1.8,27.0,1.4,160000000,0.0001274935461752206194845128872
fs,1.8,27.0,1.8,222500000,0.0001994124672796430089247768806
fs,1.8,27.0,1.8,222500000,0.0001964086446988825279368015800
fs,1.8,27.0,1.4,200000000,0.0001770645973902152446188845279
tt,1.8,27.0,1.8,212500000,0.0001778995371167970800729981750
tt,1.8,27.0,1.8,215000000,0.0001727653207586310342241443964
fs,1.8,27.0,1.4,200000000,0.0001782500172401439964000899978
ff,1.8,27.0,1.8,255000000,0.0002035648401168470788230294243
ff,1.8,27.0,1.8,257500000,0.0002085901962046198845028874278
ff,1.8,27.0,1.4,237500000,0.0001962468710376490587735306617
ff,1.8,27.0,1.4,237500000,0.0001978476780403739906502337442
fs,1.8,27.0,1.1,147500000,0.0001448759409292517687057823554
sf,1.8,27.0,1.1,162500000,0.0001243079103399165020874478138
fs,1.8,27.0,1.1,147500000,0.0001434889141310717232069198270
ss,1.8,27.0,1.5,167500000,0.0001325232139461513462163445914
sf,1.8,27.0,1.5,187500000,0.0001415532409015024624384390390
sf,1.8,27.0,1.1,162500000,0.0001262079753395415114622134447
sf,1.8,27.0,1.5,187500000,0.0001381163512050948726281842954
tt,1.8,27.0,1.5,202500000,0.0001630339923826423919402014950
tt,1.8,27.0,1.5,202500000,0.0001670106389538761530961725957
ss,1.8,27.0,1.5,165000000,0.0001305856731232719182020449489
ss,1.8,27.0,1.1,127500000,0.0001098363460983725406864828379
ss,1.8,27.0,1.1,127500000,0.0001102538463910327241818954526
ff,1.8,27.0,1.1,197500000,0.0001762698626129596760080997975
ff,1.8,27.0,1.1,200000000,0.0001772826309428264293392665183
fs,1.8,27.0,1.5,207500000,0.0001829648368306042348941276468
